Designator,Mid X,Mid Y,Rotation,Layer
AC1,118.15,-109.78,0.0,top
C1,92.25,-132.65,180.0,top
C12,148.54,-99.15,0.0,top
C14,115.36,-108.445,-90.0,top
C15,123.19,-107.73,90.0,top
C16,123.19,-109.595,-90.0,top
C17,94.69,-111.6175,90.0,top
C18,93.21,-111.97,90.0,top
C2,152.85,-98.62,0.0,top
C22,95.994161,-131.815,180.0,top
C23,96.004161,-132.81,180.0,top
C24,153.955,-103.71,0.0,top
C25,155.908766,-102.7575,180.0,top
C26,157.38,-103.235,-90.0,top
C27,158.45,-104.815,-90.0,top
C28,162.355,-104.35,0.0,top
C29,163.18,-101.90028,-90.0,top
C3,120.35,-132.17,90.0,top
C30,156.72914,-111.60208,-90.0,top
C31,158.98,-111.6,-90.0,top
C32,154.4897,-111.6006,-90.0,top
C33,137.6316,-86.4676,90.0,top
C34,152.23,-111.59,-90.0,top
C35,140.85,-86.47,90.0,top
C36,135.213513,-86.56,90.0,top
C4,149.68,-104.6,0.0,top
C5,119.14,-135.96,0.0,top
C6,122.28,-131.36,90.0,top
D1,116.9125,-122.6,180.0,top
D10,70.64,-127.39,0.0,top
D11,135.5975,-126.62,180.0,top
D12,128.7668,-94.0579,-90.0,top
D13,78.489378,-135.98,0.0,top
D2,167.04,-85.4025,-90.0,top
D3,141.57313,-131.08,0.0,top
D4,148.34,-107.89,90.0,top
D5,124.48,-131.87,-90.0,top
D6,81.893308,-136.03,180.0,top
D7,108.4288,-128.94,180.0,top
D8,110.98,-128.94,0.0,top
D9,70.4,-90.85,0.0,top
F1,143.275,-134.54,180.0,top
F2,75.6312,-94.316,0.0,top
F3,75.7074,-123.9324,0.0,top
F4,135.665,-123.35,0.0,top
F5,136.0,-94.0,0.0,top
F6,147.21,-111.32,0.0,top
F7,122.58,-128.38,0.0,top
IC1,150.79,-101.63,90.0,top
IC2,117.9,-132.81,-90.0,top
IC3,160.243766,-102.05,0.0,top
IC4,104.53,-114.77,0.0,top
J1,161.9,-121.975,90.0,top
J10,129.9936,-118.9948,90.0,top
J11,75.125,-101.682,-90.0,top
J12,129.9936,-116.4548,90.0,top
J13,75.1227,-104.222,-90.0,top
J14,129.9936,-113.9148,90.0,top
J15,75.1227,-106.762,-90.0,top
J16,129.9936,-111.3748,90.0,top
J17,75.1214,-111.4864,-90.0,top
J18,130.0228,-106.0088,90.0,top
J19,75.1214,-114.0264,-90.0,top
J2,90.75,-101.275,180.0,top
J20,130.0228,-103.4688,90.0,top
J21,75.1214,-116.5664,-90.0,top
J22,130.0228,-100.9288,90.0,top
J23,75.0814,-119.1064,-90.0,top
J24,130.0228,-98.3888,90.0,top
J25,163.79,-111.59,-90.0,top
J3,151.51,-130.49,0.0,top
J4,156.61,-130.49,0.0,top
J5,154.07,-130.49,0.0,top
J6,159.16,-130.49,0.0,top
J8,110.358846,-133.05,0.0,top
J9,75.125,-99.142,-90.0,top
L1,148.07,-101.5875,-90.0,top
L2,121.5075,-134.0,0.0,top
L3,150.9,-89.1,180.0,top
Q2,162.541287,-98.05,0.0,top
Q3,158.033766,-98.06,0.0,top
R1,114.4125,-122.6,0.0,top
R10,152.51,-106.15,180.0,top
R11,117.42,-129.32,180.0,top
R12,150.59,-106.15,0.0,top
R13,117.38,-130.36,180.0,top
R14,103.865,-131.625,0.0,top
R15,115.39,-110.58,90.0,top
R16,82.003308,-134.74,180.0,top
R17,118.045,-106.41,180.0,top
R18,103.865,-132.65,0.0,top
R19,118.365,-113.14,180.0,top
R2,150.24338,-111.530806,-90.0,top
R20,120.88,-112.685,-90.0,top
R23,97.454161,-132.34,90.0,top
R24,74.775,-90.86,0.0,top
R25,74.775,-89.93,180.0,top
R26,72.865,-90.85,180.0,top
R27,72.074,-109.2,180.0,top
R28,70.215,-109.2,180.0,top
R29,73.115,-127.13,180.0,top
R3,150.25,-113.5,-90.0,top
R30,131.07,-126.62,180.0,top
R31,129.43,-125.385,90.0,top
R32,133.0464,-126.6232,0.0,top
R33,132.09,-108.49,180.0,top
R34,130.225,-108.49,180.0,top
R35,130.0368,-94.3602,-90.0,top
R36,154.45,-102.235,90.0,top
R37,153.44,-102.235,-90.0,top
R38,155.9,-103.76,180.0,top
R39,156.865,-104.76,180.0,top
R4,88.08,-125.92,0.0,top
R40,155.908486,-101.76,180.0,top
R41,160.393766,-104.35,180.0,top
R42,164.188527,-101.9,-90.0,top
R43,78.709378,-134.69,0.0,top
R5,89.95,-125.91,0.0,top
R6,167.0,-87.83,90.0,top
R7,145.96063,-131.33,180.0,top
R8,145.96063,-130.38,0.0,top
R9,144.02063,-131.33,180.0,top
SW1,89.082165,-135.4,0.0,top
SW2,99.567098,-135.4,180.0,top
Y1,121.412,-108.69,-90.0,top
